title;main_story_length;mainextra_length;completionist_length;combined_length;platform
Neverending Nightmares;1.5;2;2.5;2;Android
Anomaly: Korea;3.5;5.5;9;4;Android
Final Fantasy;17.5;24;34;21.5;Android
Gunman Clive;1;2;3;1.5;Android
10000000;6;7;8;7;Android
Minecraft;114.5;153.5;198;;Android
Yesterday;4;4;5;4;Android
Back to Bed;1;2;3.5;1.5;Android
The Tiny Bang Story;3.5;3.5;3.5;3.5;Android
Sonic the Hedgehog (1991);1.5;2;2;2;Android
Final Fantasy IV: The After Years;33.5;43.5;68;42;Android
The Silent Age;3;3.5;3.5;3;Android
Grand Theft Auto: Chinatown Wars;9;13.5;19.5;10.5;Android
Pokémon Emerald;30;61.5;157.5;46.5;Android
Plague Inc: Evolved;0.65;5;25;2.5;Android
Monument Valley;1.5;3;1.5;1.5;Android
Five Nights at Freddy's 2;2;3;;2.5;Android
Dragon Warrior;10;15.5;20.5;13.5;Android
Sonic the Hedgehog 2 (16-bit);2.5;3;3;2.5;Android
Galaxy on Fire 2 HD;10.5;16;36;19.5;Android
Clockwork Tales: Of Glass and Ink;3;3.5;4;3.5;Android
Vector;4;7.5;9.5;5.5;Android
Detective Grimoire;2.5;3;3;2.5;Android
Doodle God;5.5;;5.5;5.5;Android
Dragon Warrior III;29;33.5;33;30.5;Android
Final Fantasy VI Advance;34;42;50;40.5;Android
Dead Effect;3.5;9;25;4;Android
Lara Croft Go;3.5;4.5;6;4;Android
Canabalt;0.5166666666666667;1;;0.6666666666666666;Android
Thomas Was Alone: Benjamin's Flight DLC;0.55;0.65;0.6166666666666667;0.6;Android
80 Days;3;9.5;;3.5;Android
You Must Build A Boat;7;10.5;17;8;Android
Hook (2015);1;;;;Android
Anomaly: Warzone Earth - Mobile Campaign;4;2.5;9;4.5;Android
Geometry Dash;;;20;20;Android
Enigmatis: The Ghosts of Maple Creek;4.5;5;5;5;Android
Minecraft: Story Mode - Episode 1: The Order of the Stone;1.5;;;;Android
Doom & Destiny;15.5;26.5;30.5;22.5;Android
Fairune;2.5;3.5;45;4.5;Android
Plants vs. Zombies 2: It's About Time;6.5;15;17;14;Android
Rayman Jungle Run;2.5;4;4.5;4;Android
Tiny Thief;4;;5;4.5;Android
The Wolf Among Us: Episode 1 - Faith;2;2.5;2.5;2;Android
The Room Two;3.5;;4;4;Android
Sparkle 2;5;;;5;Android
Sorcery!;2;2;2.5;2;Android
Leo's Fortune;2;3.5;1;2;Android
Monument Valley: Forgotten Shores;1.5;;0.9166666666666666;1;Android
Age of Zombies;2;;;2;Android
Prince of Persia Classic;2;3;;2;Android
Out There;2.5;;;2.5;Android
Choice of Robots;2;;6.5;2;Android
Chaos Rings;10;21.5;35;23;Android
Game Dev Story;7;9;25.5;11;Android
Sorcery! 2;5;8.5;;6;Android
Duet;2.5;5;;3;Android
FRAMED;1.5;1.5;;1.5;Android
Fallout Shelter;10;22;;19;Android
Choice of the Dragon;;;;;Android
Angry Birds;6.5;13.5;13;10;Android
Cut the Rope;2;4;10.5;5;Android
Devil's Attorney;4;5;5.5;5;Android
Final Fantasy Dimensions;54.5;56;57.5;55.5;Android
Rymdkapsel;2;3;4.5;3.5;Android
Machine Knight;;14.5;38;26.5;Android
Pixel Dungeon;3;;;3;Android
EvoCreo;;67;;67;Android
The Room Three;5;6;7;6;Android
Adventure Bar Story;71;58;70;68;Android
Angry Birds Space;4.5;5;4;4.5;Android
Angry Birds Star Wars;4;6;30;6;Android
Asphalt 7: Heat;7.5;7.5;;7.5;Android
Battleheart;2;;16;11.5;Android
Blazing Star;2;;;2;Android
Carmageddon;11.5;16;21;14;Android
Chaos Rings II;23.5;29.5;;25;Android
Chaos Rings Omega;8;30.5;20.5;20;Android
Cut the Rope: Experiments;3;;3.5;3.5;Android
Dead Space (Mobile);4;4.5;5;4;Android
Dead Trigger;5;6;;5.5;Android
DoDonPachi Resurrection;0.7833333333333333;;;0.7833333333333333;Android
Don't Look Back;0.31666666666666665;;12;1;Android
Dungeon Village;;15.5;;15.5;Android
Final Fantasy: All The Bravest;3;4.5;;4;Android
Fruit Ninja;2.5;8.5;33;10.5;Android
Inotia 3: Children of Carnia;;30;26;28;Android
Jetpack Joyride;22;;;;Android
Knights of Pen & Paper;9;13;20;12;Android
N.O.V.A. Near Orbit Vanguard Alliance;4.5;5;;4.5;Android
Paper Monsters;1;8;;2.5;Android
Plague Inc.;4;7;;4.5;Android
Ridiculous Fishing;2.5;3;10.5;4;Android
Shadowgun;3;4;;3.5;Android
Swordigo;4.5;4;4.5;4.5;Android
Zenonia;17;22;36;19.5;Android
BADLAND;5;5;;5;Android
Layton Brothers: Mystery Room;;;8;8;Android
Kingdom Rush Frontiers;;12;;12;Android
Angry Birds Star Wars II;4.5;5;;4.5;Android
Don't Move;1;;0.6833333333333333;0.85;Android
Asphalt 8: Airborne;15;40;;27.5;Android
Devious Dungeon;7;;15;8.5;Android
Shadowgun - The Extra DLC;1.5;;;1.5;Android
Dragon Quest II: Luminaries of the Legendary Line (2014);20;16.5;16.5;17.5;Android
Dark Guardians;;;;;Android
The World Ends With You: Solo Remix;26.5;;;26.5;Android
Earn to Die;1.5;;;1.5;Android
Horizon Chase: World Tour;;17.5;;17.5;Android
Prince of Persia 2: The Shadow and the Flame;5;6;;5.5;Android
Dragon Quest (2014);10.5;8;16;10;Android
Angry Birds Rio;6.5;6;10;7;Android
Angry Birds Seasons;6.5;11.5;8;7.5;Android
Bad Piggies;7.5;7.5;9;7.5;Android
Demons Land;;;1.5;1.5;Android
Guess the Movie;;;4;4;Android
Infectonator: World Dominator;;;2;2;Android
Mass Effect: Infiltrator;4.5;;;4.5;Android
N.O.V.A. 2: The Hero Rises Again;7.5;;;7.5;Android
N.O.V.A. 3;5;;;5;Android
Pudding Monsters;2.5;;4;3;Android
Punch Quest;3;17.5;;6;Android
Scribblenauts Remix;2.5;2.5;4;2.5;Android
Serious Sam: Kamikaze Attack!;1.5;;;1.5;Android
Super Jumping Finn;2;2.5;;2.5;Android
Symphony of Eternity;16.5;;27;19;Android
The Dark Knight Rises (Mobile);10;;;10;Android
The King of Fighters Android;0.3;;;0.3;Android
The Lost City;3;;3;3;Android
Trainyard;3;;10;6.5;Android
Sleepwalker's Journey;2.5;;5;3;Android
Spider: The Secret of Bryce Manor;;3.5;;3.5;Android
Alchemy (2010);;;3.5;3.5;Android
Hope: The other side of adventure;0.3333333333333333;;72.5;24.5;Android
Azkend 2: The World Beneath;5;;;5;Android
King Oddball;;;13;13;Android
End of Aspiration;8;;;8;Android
SongPop;;;;;Android
Modern Combat 4: Zero Hour;4;;;4;Android
Backgammon;2;;;2;Android
Time Surfer;;;;;Android
Flappy Bird;0.43333333333333335;;2.5;1.5;Android
Threes!;;;;;Android
2048;0.25;;;0.25;Android
Alice Trapped in Wonderland;2.5;;;2.5;Android
Escape the Room: Limited Time;1.5;;;1.5;Android
