title;main_story_length;mainextra_length;completionist_length;combined_length;platform
Dragon Ball: Origins 2;10;;28;19;Nintendo DS
Transformers Autobots;;;;;Nintendo DS
Big Bang Mini;6;8.5;12;8;Nintendo DS
Big Brain Academy;5.5;9;15.5;11.5;Nintendo DS
Black Sigil: Blade of the Exiled;20;26.5;36.5;27;Nintendo DS
Drawn to Life: The Next Chapter;12.5;;;12.5;Nintendo DS
Elebits: The Adventures of Kai and Zero;8.5;;12.5;9;Nintendo DS
Giana Sisters DS;2.5;3;4.5;3.5;Nintendo DS
Jake Hunter Detective Story: Memories of the Past;;;15;15;Nintendo DS
LostMagic;11;13;12;12;Nintendo DS
Mighty Flip Champs!;;6;11;8;Nintendo DS
Scurge: Hive;10;;;10;Nintendo DS
Super Robot Taisen OG Saga: Endless Frontier;34.5;39;37.5;35.5;Nintendo DS
Super Robot Taisen OG Saga: Endless Frontier Exceed;42;;;42;Nintendo DS
The Wizard of Oz: Beyond the Yellow Brick Road;21.5;;;21.5;Nintendo DS
A Kappa's Trail;8;;;8;Nintendo DS
Mario & Sonic at the Olympic Winter Games;;;15.5;15.5;Nintendo DS
Naruto Shippuden: Ninja Destiny 3;;;;;Nintendo DS
Cooking Mama 3: Shop & Chop;20;;;20;Nintendo DS
A Witch's Tale;;16;22.5;19.5;Nintendo DS
Age of Empires: The Age of Kings;15.5;29.5;40;25;Nintendo DS
Anno 1701: Dawn of Discovery;17;;;17;Nintendo DS
Anonymous Notes Chapter 1 - From The Abyss;0.5666666666666667;;2;1.5;Nintendo DS
Art Academy: First Semester;;;8;8;Nintendo DS
Asphalt: Urban GT 2;;;;;Nintendo DS
Assassin's Creed: Altair's Chronicles;5;4.5;5;5;Nintendo DS
Aura-Aura Climber;1;2.5;;2.5;Nintendo DS
Avatar: The Last Airbender - The Burning Earth;6;;4;5.5;Nintendo DS
Away: Shuffle Dungeon;16.5;15;23;17;Nintendo DS
Bangai-O Spirits;8;11;20;11;Nintendo DS
Blue Dragon Plus;14.5;19;;15;Nintendo DS
Bomberman Blitz;;;38;38;Nintendo DS
Bomberman DS;6;;;6;Nintendo DS
Bomberman Land Touch!;15;17;;15.5;Nintendo DS
Bomberman Land Touch! 2;6;;;6;Nintendo DS
Brain Age 2: More Training in Minutes a Day!;1;19;1;14.5;Nintendo DS
Brain Age: Train Your Brain in Minutes a Day!;0.7833333333333333;1;1;0.9666666666666667;Nintendo DS
Brothers in Arms DS;5;9;;5.5;Nintendo DS
Bust-a-Move DS;;;;;Nintendo DS
Call of Duty: Modern Warfare 3 - Defiance;5.5;10;16.5;7.5;Nintendo DS
Cate West: The Vanishing Files;10.5;;7;9;Nintendo DS
Chronicles of Mystery: Curse of the Ancient Temple;2.5;;;2.5;Nintendo DS
Clubhouse Games;;;20;20;Nintendo DS
Code Lyoko: Fall of X.A.N.A.;13;;;13;Nintendo DS
CrossworDS;;17;;17;Nintendo DS
Daigasso! Band Brothers;12.5;20;;16;Nintendo DS
Dementium II;5;;6.5;5.5;Nintendo DS
Diner Dash;4.5;5;6;5;Nintendo DS
DK Jungle Climber;6;;11;7;Nintendo DS
Draglade;4;7.5;;4.5;Nintendo DS
Dragon Ball Z: Supersonic Warriors 2;15;14;14.5;15;Nintendo DS
Dragon Quest Wars;0.6833333333333333;;;0.6833333333333333;Nintendo DS
Drawn to Life;14.5;14;13;14;Nintendo DS
Dungeon Explorer: Warriors of Ancient Arts;11.5;;;11.5;Nintendo DS
Escapee GO!;;;;;Nintendo DS
Fossil Fighters: Champions;34;;;34;Nintendo DS
Front Mission (DS);25.5;28.5;35;28;Nintendo DS
Fullmetal Alchemist: Dual Sympathy;15;;;15;Nintendo DS
Guitar Hero On Tour: Decades;2;;20;11;Nintendo DS
Guitar Hero On Tour: Modern Hits;;;24;24;Nintendo DS
Guitar Hero: On Tour;2;;23;12.5;Nintendo DS
Harvest Moon DS: Grand Bazaar;;105;;105;Nintendo DS
Harvest Moon DS: Island of Happiness;;43;;43;Nintendo DS
Hello Kitty: Big City Dreams;3;3;;3;Nintendo DS
Hero's Saga Laevatein Tactics;18.5;;29;20.5;Nintendo DS
Heroes of Mana;;;37;37;Nintendo DS
Hoshigami Remix;38.5;30;;34.5;Nintendo DS
Ivy the Kiwi?;5.5;;;5.5;Nintendo DS
Jump Super Stars;13;14;;13.5;Nintendo DS
Jump Ultimate Stars;19.5;23.5;53.5;28.5;Nintendo DS
Legacy of Ys: Books I & II;14.5;13.5;19;14.5;Nintendo DS
Looney Tunes: Cartoon Conductor;4;;5.5;5;Nintendo DS
Magnetica;10;;;10;Nintendo DS
Mario Hoops 3-on-3;3.5;5;;4;Nintendo DS
Mario vs. Donkey Kong: Mini-Land Mayhem!;6;;14.5;10.5;Nintendo DS
Monster Racers;;;25;25;Nintendo DS
Mystery Case Files: MillionHeir;7.5;7;;7.5;Nintendo DS
Nanashi no Game;;10;30;20;Nintendo DS
Naruto: Ninja Council 3;;17;21;19;Nintendo DS
Naruto: Ninja Destiny;2;;16;13;Nintendo DS
Naruto: Path of the Ninja;14;22;25;21;Nintendo DS
Orcs & Elves;5;;6.5;5;Nintendo DS
Peggle: Dual Shot;;;;;Nintendo DS
Planet Puzzle League;0.5333333333333333;;;0.5333333333333333;Nintendo DS
Pokémon + Nobunaga no Yabou;13.5;;55;34.5;Nintendo DS
Polarium;5.5;;;5.5;Nintendo DS
Prince of Persia: The Fallen King;7;8;10;7.5;Nintendo DS
Princess Debut;4;;44;9.5;Nintendo DS
Puyo Pop Fever;2;4;;2;Nintendo DS
Puyo Puyo 7;;;27;27;Nintendo DS
Puyo Puyo! 15th Anniversary;;;47;47;Nintendo DS
Retro Game Challenge;10.5;10.5;15.5;11;Nintendo DS
Ridge Racer DS;;;;;Nintendo DS
Sonic Classic Collection;;;;;Nintendo DS
Space Invaders Extreme;;;;;Nintendo DS
Space Invaders Extreme 2;6;;;6;Nintendo DS
Spectrobes;;14;26;22;Nintendo DS
Spectrobes: Beyond the Portals;24.5;36;;30;Nintendo DS
Star Wars: The Clone Wars - Jedi Alliance;5;;;5;Nintendo DS
Style Savvy;17.5;100;;32.5;Nintendo DS
Super Monkey Ball Touch & Roll;0.5;3.5;;1;Nintendo DS
Super Robot Taisen K;35;40;;37.5;Nintendo DS
Super Robot Taisen W;;35;;35;Nintendo DS
Tetris Party Deluxe;;;34;34;Nintendo DS
The Legendary Starfy;9;8.5;22;12.5;Nintendo DS
The Urbz: Sims in the City;15.5;12.5;;15;Nintendo DS
Tokimeki Memorial: Girl's Side 1st Love Plus;;;79;79;Nintendo DS
Touch the Dead;4.5;;;4.5;Nintendo DS
Viewtiful Joe: Double Trouble!;5;;;5;Nintendo DS
Worms: Open Warfare;;;5.5;5.5;Nintendo DS
Worms: Open Warfare 2;;;10;10;Nintendo DS
Yu-Gi-Oh! 5D's Stardust Accelerator: World Championship 2009;40;18;240.5;120;Nintendo DS
Yu-Gi-Oh! 5D's World Championship 2010: Reverse of Arcadia;27.5;;208;153.5;Nintendo DS
Yu-Gi-Oh! GX Spirit Caller;20;;82.5;65.5;Nintendo DS
Yu-Gi-Oh! World Championship 2008;21;50;133;59;Nintendo DS
Yu-Gi-Oh!: Nightmare Troubadour;29;69.5;67;50.5;Nintendo DS
Zenonia;17;22;36;19.5;Nintendo DS
Tony Hawk's American Sk8land;;19;;19;Nintendo DS
Mighty Milky Way;3.5;6.5;8.5;6;Nintendo DS
Mr. Driller Drill Spirits;;;;;Nintendo DS
Cartoon Network Racing;;;15;15;Nintendo DS
Battles of Prince of Persia;10.5;;;10.5;Nintendo DS
Naruto Shippuuden: Dairansen! Kage Bunshin Emaki;;;;;Nintendo DS
Bomberman 2;;;1.5;1.5;Nintendo DS
Pac 'n Roll;4;;;4;Nintendo DS
Professor Heinz Wolff's Gravity;2;;5;3.5;Nintendo DS
Bookstore Dream;5;6;;5.5;Nintendo DS
Naruto Shippuden: Naruto vs. Sasuke;3.5;;;3.5;Nintendo DS
Spore Creatures;;;;;Nintendo DS
Super Dodgeball Brawlers;0.6833333333333333;;;0.6833333333333333;Nintendo DS
Rayman DS;;;;;Nintendo DS
QuickSpot;;;;;Nintendo DS
AiRace: Tunnel;;;;;Nintendo DS
Photo Dojo;;;22;22;Nintendo DS
Sonic Colors;5;8;14.5;6;Nintendo DS
The Rub Rabbits!;2;2.5;;2;Nintendo DS
Again: Interactive Crime Novel;11.5;;10.5;10.5;Nintendo DS
Animal Paradise;;;3.5;3.5;Nintendo DS
Asphalt: Urban GT;10;;11.5;11;Nintendo DS
Avatar: The Last Airbender;7.5;8;;7.5;Nintendo DS
C.O.R.E.;;;5.5;5.5;Nintendo DS
Cooking Mama;8;;;8;Nintendo DS
Deal or No Deal;0.08333333333333333;;4.5;0.6333333333333333;Nintendo DS
Dr. Mario Express;7;;20;13.5;Nintendo DS
Electroplankton;0.4;;0.5;0.45;Nintendo DS
Flower, Sun, and Rain;14;;7.5;10;Nintendo DS
Foster's Home for Imaginary Friends: Imagination Invaders;1;;2;2;Nintendo DS
Guilty Gear Dust Strikers;0.31666666666666665;;;0.31666666666666665;Nintendo DS
Hamsterz Life;;;8;8;Nintendo DS
Jake Hunter: Detective Chronicles;;;6;6;Nintendo DS
Little Red Riding Hood's Zombie BBQ;4;;;4;Nintendo DS
Lux-Pain;17.5;16.5;17;17;Nintendo DS
Metcha! Taiko no Tatsujin DS: Nanatsu no Shima no Daibouken;4.5;19;24;12.5;Nintendo DS
Mechanic Master;;;7;7;Nintendo DS
Metropolis Crimes;7;;6;6.5;Nintendo DS
Miami Law;5;11;;8.5;Nintendo DS
My World, My Way;;23.5;29;24.5;Nintendo DS
Pac-Pix;5;;;5;Nintendo DS
Penguin Patrol;2;4;;3;Nintendo DS
Point Blank DS;4.5;;;4.5;Nintendo DS
Puchi Puchi Virus;5;;12.5;9;Nintendo DS
Ridge Racer 3D;15;18;15;15;Nintendo DS
Robocalypse;8;;;8;Nintendo DS
Rock Band 3;9.5;26;137;25;Nintendo DS
SBK: Snowboard Kids;;;6.5;6.5;Nintendo DS
SNK vs. Capcom: Card Fighters DS;10;;;10;Nintendo DS
Solitaire DS;;;;;Nintendo DS
Soul Bubbles;6;9;10;9;Nintendo DS
Space Bust-a-Move;1;;;1;Nintendo DS
SpongeBob SquarePants: The Yellow Avenger;;;15.5;15.5;Nintendo DS
Sprung;;;18;18;Nintendo DS
Taiko no Tatsujin DS: Dororon! Yokai Daikessen!!;8.5;22;41;18.5;Nintendo DS
Taiko no Tatsujin DS: Touch de Dokodon;2;;47;10;Nintendo DS
The Simpsons Game (Nintendo DS);3;;4;3.5;Nintendo DS
Tokyo Beat Down;6;;;6;Nintendo DS
TrackMania DS;1.5;;4.5;3;Nintendo DS
True Swing Golf;;;;;Nintendo DS
Ultimate Mortal Kombat;0.4;;0.6666666666666666;0.5333333333333333;Nintendo DS
WarioWare: Snapped!;;;;;Nintendo DS
Yoshi Touch & Go;3;6;;4.5;Nintendo DS
Yu-Gi-Oh! World Championship 2007;;50;35;42.5;Nintendo DS
Zendoku;;;4;4;Nintendo DS
Zoo Keeper;5.5;;12;6;Nintendo DS
Wonder World Amusement Park;;5;;5;Nintendo DS
English Training: Have Fun Improving Your Skills!;10;;;10;Nintendo DS
Cars Mater-National Championship;4;5;6;5;Nintendo DS
Naruto Shippuden: Ninja Council 4;2.5;;;2.5;Nintendo DS
Naruto: Ninja Council 2 European Version;2.5;;;2.5;Nintendo DS
Code Lyoko;6;10;;8;Nintendo DS
Nervous Brickdown;8;;;8;Nintendo DS
Retro Atari Classics;;;;;Nintendo DS
Ace Mathician;;;0.9;0.9;Nintendo DS
Flash Focus: Vision Training in Minutes a Day;6;;;6;Nintendo DS
Naruto Shippuden: Shinobi Rumble;1.5;;;1.5;Nintendo DS
Sega Casino;;;;;Nintendo DS
The Sims 2 (Handheld);;;60;60;Nintendo DS
42 All-Time Classics;;;;;Nintendo DS
Resident Evil 4;16;20.5;26.5;18.5;Nintendo GameCube
Star Wars Jedi Knight II: Jedi Outcast;12;15;18.5;13.5;Nintendo GameCube
Tomb Raider: Legend;7.5;8.5;16;8.5;Nintendo GameCube
Prince of Persia: The Sands of Time;9;10;12;9.5;Nintendo GameCube
Beyond Good & Evil;10.5;12;13;12;Nintendo GameCube
Sonic Adventure DX;9.5;16.5;42;14.5;Nintendo GameCube
Tom Clancy's Splinter Cell: Chaos Theory;13;13.5;21;13.5;Nintendo GameCube
Prince of Persia: The Two Thrones;10;11;13;10.5;Nintendo GameCube
Sonic Adventure 2;9.5;17.5;43;13.5;Nintendo GameCube
Prince of Persia: Warrior Within;12.5;14.5;18.5;14;Nintendo GameCube
Sonic CD;2;4;7;2.5;Nintendo GameCube
Tom Clancy's Splinter Cell;12.5;14.5;14.5;13;Nintendo GameCube
Red Faction II;4.5;6;6;5;Nintendo GameCube
Resident Evil: HD Remaster;10;14;41;12;Nintendo GameCube
The Legend of Zelda: Majora's Mask;19.5;26;28.5;24.5;Nintendo GameCube
Super Mario Sunshine;17.5;22;33;21;Nintendo GameCube
The Legend of Zelda: Twilight Princess;37;47.5;55.5;45.5;Nintendo GameCube
Call of Duty;7.5;8.5;9;8;Nintendo GameCube
The Legend of Zelda: Ocarina of Time;27;30.5;38.5;30.5;Nintendo GameCube
Metroid Prime;13;16.5;19.5;15.5;Nintendo GameCube
The Legend of Zelda;9;10.5;13.5;10;Nintendo GameCube
The Legend of Zelda: The Wind Waker;29;34.5;65;34;Nintendo GameCube
BloodRayne;7;9.5;14;7.5;Nintendo GameCube
Crazy Taxi;3;4.5;5;4;Nintendo GameCube
Luigi's Mansion;6.5;7;8;7;Nintendo GameCube
Tales of Symphonia;50.5;66.5;213;66;Nintendo GameCube
Paper Mario: The Thousand-Year Door;30.5;39.5;77;37.5;Nintendo GameCube
Resident Evil 3: Nemesis;6.5;8.5;10;7.5;Nintendo GameCube
Pikmin;8.5;9;9;9;Nintendo GameCube
Resident Evil;7;8;15;7.5;Nintendo GameCube
Resident Evil 2;5.5;8;13.5;6.5;Nintendo GameCube
Zelda II: The Adventure of Link;11;12.5;13;12;Nintendo GameCube
Mega Man 2;2.5;2.5;3.5;3;Nintendo GameCube
Need for Speed: Most Wanted;21;21.5;29;22.5;Nintendo GameCube
Resident Evil (2002);11;11.5;18.5;12;Nintendo GameCube
Resident Evil Code: Veronica X;12;13.5;15;12;Nintendo GameCube
Sonic the Hedgehog (1991);1.5;2;2;2;Nintendo GameCube
Tom Clancy's Splinter Cell: Pandora Tomorrow;10.5;12.5;16;11.5;Nintendo GameCube
Mega Man X5;4;4.5;4;4;Nintendo GameCube
Metroid Prime 3: Corruption;14;17;19;16;Nintendo GameCube
Gun;6;8.5;13.5;8.5;Nintendo GameCube
Mega Man X4;3.5;4;6.5;4.5;Nintendo GameCube
Metal Gear Solid: The Twin Snakes;10;10.5;16;10;Nintendo GameCube
Super Smash Bros. Melee;9;57.5;128.5;46.5;Nintendo GameCube
Mario Kart: Double Dash!!;7;11.5;17.5;12;Nintendo GameCube
Mega Man;3;3.5;3.5;3;Nintendo GameCube
Metroid Prime 2: Echoes;17.5;20.5;22;20;Nintendo GameCube
Star Fox Adventures;11.5;17;17;15;Nintendo GameCube
Fire Emblem: Path of Radiance;33;36;43;35;Nintendo GameCube
Ikaruga;1.5;;;1.5;Nintendo GameCube
Sonic the Hedgehog 2 (16-bit);2.5;3;3;2.5;Nintendo GameCube
The Legend of Zelda: Four Swords Adventures;15;16;16;15;Nintendo GameCube
Baten Kaitos: Eternal Wings and the Lost Ocean;56;58.5;151.5;63;Nintendo GameCube
Eternal Darkness: Sanity's Requiem;13;15;29.5;15;Nintendo GameCube
Animal Crossing;69;170;610;171;Nintendo GameCube
Baldur's Gate: Dark Alliance;14;17.5;19;15.5;Nintendo GameCube
Harvest Moon: A Wonderful Life;29.5;47;;33;Nintendo GameCube
Kirby Air Ride;0.75;15;;13.5;Nintendo GameCube
Lego Star Wars II: The Original Trilogy;11.5;14.5;28;15.5;Nintendo GameCube
Lego Star Wars: The Video Game;6.5;10;15.5;9.5;Nintendo GameCube
Mega Man 4;3;3.5;3;3;Nintendo GameCube
Mega Man 5;3;3.5;3.5;3;Nintendo GameCube
Phantasy Star Online Episode I & II Plus;20;90.5;;64;Nintendo GameCube
The Lord of the Rings: The Return of the King;10;13;17.5;11.5;Nintendo GameCube
X-Men Legends II: Rise of Apocalypse (Console/PC);22;22;21.5;22;Nintendo GameCube
Mega Man 6;3;3;3.5;3;Nintendo GameCube
Mega Man X6;6.5;5.5;6.5;6.5;Nintendo GameCube
Mega Man X: Command Mission;15.5;23.5;77.5;24;Nintendo GameCube
Resident Evil Zero;12;12.5;13;12;Nintendo GameCube
Sonic & Knuckles;2.5;4.5;11;4;Nintendo GameCube
Sonic the Hedgehog 3;2.5;3;5.5;3;Nintendo GameCube
Soulcalibur II;1.5;9;40;12.5;Nintendo GameCube
The Legend of Zelda: Four Swords;4;8;15.5;8;Nintendo GameCube
True Crime: Streets of LA;9.5;14.5;18;12.5;Nintendo GameCube
Harry Potter and the Philosopher's Stone;5.5;9.5;13;7;Nintendo GameCube
Killer7;12.5;13;12;12.5;Nintendo GameCube
Peter Jackson's King Kong: The Official Game of the Movie;7;7;8;7;Nintendo GameCube
Skies of Arcadia;46;46.5;61;49;Nintendo GameCube
Skies of Arcadia Legends;42.5;51.5;67.5;52;Nintendo GameCube
The Legend of Zelda: Ocarina of Time Master Quest;19.5;30.5;31;25.5;Nintendo GameCube
Crash Bandicoot: The Wrath of Cortex;8;7.5;10;8;Nintendo GameCube
Dead to Rights;8.5;10;;9;Nintendo GameCube
Final Fantasy Crystal Chronicles;18.5;25;29;21;Nintendo GameCube
Freedom Fighters;8;9.5;15;8.5;Nintendo GameCube
Mario Power Tennis;3;14.5;73;8.5;Nintendo GameCube
Mega Man Anniversary Collection;;;23;23;Nintendo GameCube
Pikmin 2;12.5;24;27;18;Nintendo GameCube
Pokémon XD: Gale of Darkness;25;31;61.5;32.5;Nintendo GameCube
Second Sight;8.5;15.5;;10.5;Nintendo GameCube
Sonic 3D Blast;4;15;7;5;Nintendo GameCube
Sonic the Hedgehog: Triple Trouble;1.5;3;10;1.5;Nintendo GameCube
Star Fox: Assault;6;7;11;6.5;Nintendo GameCube
Super Mario Strikers;5;12;;8;Nintendo GameCube
The Lord of the Rings: The Two Towers (Console);6.5;8;10;7;Nintendo GameCube
Chibi-Robo!;12.5;16;20.5;16;Nintendo GameCube
F-Zero GX;10.5;21;55;21.5;Nintendo GameCube
Harry Potter and the Chamber of Secrets;7.5;13;18.5;10.5;Nintendo GameCube
Need for Speed: Underground;14;17;21;15.5;Nintendo GameCube
Pokémon Colosseum;24.5;41.5;50;36;Nintendo GameCube
Rayman 3: Hoodlum Havoc;9;11;17;10;Nintendo GameCube
Spider-Man (2002);6;10;;6.5;Nintendo GameCube
Spider-Man 2;9;12.5;51;11;Nintendo GameCube
Spyro: Enter the Dragonfly;10;10.5;10.5;10;Nintendo GameCube
Star Wars: Bounty Hunter;7;14;;9;Nintendo GameCube
The Incredible Hulk: Ultimate Destruction;9.5;;;9.5;Nintendo GameCube
Cel Damage;4;;;4;Nintendo GameCube
Call of Duty 2: Big Red One;7;;7.5;7;Nintendo GameCube
Digimon World 4;22.5;;;22.5;Nintendo GameCube
Harry Potter and the Goblet of Fire;7.5;15;15;10.5;Nintendo GameCube
Medal of Honor: Frontline;9.5;10;13;10;Nintendo GameCube
Mortal Kombat: Deception;2.5;14.5;50;14;Nintendo GameCube
Need for Speed: Underground 2;19.5;20.5;20.5;20;Nintendo GameCube
P.N.03;2.5;6;7;5;Nintendo GameCube
Sonic Adventure;8.5;12;18;11;Nintendo GameCube
Sonic Adventure 2 Battle;10.5;34.5;82;29.5;Nintendo GameCube
Star Wars Rogue Squadron II: Rogue Leader;7.5;10.5;17.5;9;Nintendo GameCube
Star Wars: The Clone Wars;5;8.5;9;6;Nintendo GameCube
The Lord of the Rings: The Third Age;22.5;23.5;24;23;Nintendo GameCube
TimeSplitters 2;12;28;41;22;Nintendo GameCube
XIII;9;12.5;13;10;Nintendo GameCube
Alien Hominid;2.5;;12;3;Nintendo GameCube
Battalion Wars;7;8.5;;7;Nintendo GameCube
Digimon Rumble Arena 2;1;2;;1.5;Nintendo GameCube
Donkey Kong Jungle Beat;5;8.5;9.5;7;Nintendo GameCube
GoldenEye: Rogue Agent;12.5;;;12.5;Nintendo GameCube
Harry Potter and the Prisoner of Azkaban;8;19.5;48.5;12.5;Nintendo GameCube
Lost Kingdoms;6;7;;6;Nintendo GameCube
Mario Golf: Toadstool Tour;10;15;11.5;11;Nintendo GameCube
Mario Party 6;13;17;22;15;Nintendo GameCube
Medal of Honor: European Assault;6;;6.5;6;Nintendo GameCube
Mega Man X Collection;13;;;;Nintendo GameCube
Metal Arms: Glitch in the System;12;12.5;20;13.5;Nintendo GameCube
Need for Speed: Hot Pursuit 2;11;14;13;11.5;Nintendo GameCube
Sonic Chaos;1.5;;3;1.5;Nintendo GameCube
Sonic Riders;5.5;6;10.5;7;Nintendo GameCube
The Legend of Spyro: A New Beginning;7.5;;12;7.5;Nintendo GameCube
TimeSplitters: Future Perfect;8.5;21;38;13;Nintendo GameCube
Tony Hawk's Pro Skater 4;11.5;16.5;26.5;15.5;Nintendo GameCube
Ty the Tasmanian Tiger;10;9;14.5;10;Nintendo GameCube
Ultimate Spider-Man;5;9;18;6.5;Nintendo GameCube
Viewtiful Joe;8;11.5;24;8.5;Nintendo GameCube
Wario World;6;6.5;6.5;6.5;Nintendo GameCube
WarioWare, Inc.: Mega Party Games!;1.5;;;1.5;Nintendo GameCube
X-Men Legends;19.5;19.5;19.5;19.5;Nintendo GameCube
Bionicle Heroes;9;;19;14.5;Nintendo GameCube
Bloody Roar: Primal Fury;0.7833333333333333;;;0.7833333333333333;Nintendo GameCube
Burnout 2: Point of Impact;9;20.5;47;20;Nintendo GameCube
Crash Nitro Kart;7.5;6;11;8;Nintendo GameCube
Custom Robo;10;13.5;19;12.5;Nintendo GameCube
Gauntlet Dark Legacy;12.5;30.5;;16;Nintendo GameCube
James Bond 007: Everything or Nothing;11;12;13;11;Nintendo GameCube
James Bond 007: Nightfire;6.5;8;15.5;8;Nintendo GameCube
Lost Kingdoms II;10;40;80;27;Nintendo GameCube
Mega Man Network Transmission;8;;;8;Nintendo GameCube
Mortal Kombat: Deadly Alliance;16.5;19;40;20.5;Nintendo GameCube
Pac-Man World 2;4.5;;9;5;Nintendo GameCube
Phantasy Star Online Episode III: C.A.R.D. Revolution;11.5;25.5;;21;Nintendo GameCube
Sonic 3 & Knuckles;4.5;5;7;5;Nintendo GameCube
Sonic Drift 2;4;;;4;Nintendo GameCube
Sonic Heroes;10.5;17.5;37.5;15.5;Nintendo GameCube
Sonic Mega Collection;32.5;;;;Nintendo GameCube
Spyro: A Hero's Tail;10;12;15.5;11;Nintendo GameCube
Star Wars Rogue Squadron III: Rebel Strike;5.5;9;10.5;7;Nintendo GameCube
The Simpsons Hit & Run;10.5;12.5;24;13.5;Nintendo GameCube
Viewtiful Joe 2;8;;12.5;8.5;Nintendo GameCube
Wave Race: Blue Storm;;10;;10;Nintendo GameCube
Baten Kaitos Origins;39;61.5;182;62.5;Nintendo GameCube
Billy Hatcher and the Giant Egg;11;;;11;Nintendo GameCube
Call of Duty: Finest Hour;6.5;;;6.5;Nintendo GameCube
Dr. Robotnik's Mean Bean Machine;3;;4;3.5;Nintendo GameCube
Dragon Ball Z: Budokai;4;6;11;5.5;Nintendo GameCube
FIFA 2004;22;;;;Nintendo GameCube
Finding Nemo;3;5;;3.5;Nintendo GameCube
Gotcha Force;9;22.5;;13.5;Nintendo GameCube
Harvest Moon: Magical Melody;31;;;31;Nintendo GameCube
I-Ninja;8.5;14;;10.5;Nintendo GameCube
Mario Party 7;11;;18;13;Nintendo GameCube
Naruto: Clash of Ninja 2;1.5;;11.5;3.5;Nintendo GameCube
Pitfall: The Lost Expedition;11;12;;11.5;Nintendo GameCube
Serious Sam: Next Encounter;11;;;11;Nintendo GameCube
Sonic Gems Collection;36.5;;;;Nintendo GameCube
Sphinx and the Cursed Mummy;10;16.5;19;14.5;Nintendo GameCube
SpongeBob SquarePants: Battle for Bikini Bottom;13.5;18;18;15.5;Nintendo GameCube
SSX Tricky;12;26.5;45;24;Nintendo GameCube
Tak and the Power of Juju;9.5;;;9.5;Nintendo GameCube
The Fairly OddParents: Breakin' da Rules;11.5;10;;11;Nintendo GameCube
The Incredibles;6;;5;5.5;Nintendo GameCube
The Legend of Zelda Collector's Edition;171;;;;Nintendo GameCube
The SpongeBob SquarePants Movie;11;9;10;10.5;Nintendo GameCube
Ty the Tasmanian Tiger 2: Bush Rescue (Console);10.5;10.5;;10.5;Nintendo GameCube
Vexx;;;13;13;Nintendo GameCube
Viewtiful Joe: Red Hot Rumble;5;13.5;;10;Nintendo GameCube
Ty the Tasmanian Tiger 3: Night of the Quinkan;7;;10.5;8.5;Nintendo GameCube
The Grim Adventures of Billy & Mandy;0.8333333333333334;;20;4;Nintendo GameCube
Capcom vs. SNK 2 EO;;;;;Nintendo GameCube
1080° Avalanche;;;8.5;8.5;Nintendo GameCube
Beach Spikers;9;;;9;Nintendo GameCube
Evolution Worlds;24;;;24;Nintendo GameCube
Geist;9.5;;;9.5;Nintendo GameCube
Harvest Moon: Another Wonderful Life;19;48;;24.5;Nintendo GameCube
Madagascar;5;10;;6.5;Nintendo GameCube
Mario Party 4;10;17;114.5;17.5;Nintendo GameCube
Mario Strikers Charged (Football);10.5;14;;12.5;Nintendo GameCube
Mario Superstar Baseball;3;4;27.5;5.5;Nintendo GameCube
Medal of Honor: Rising Sun;8;9;11;9;Nintendo GameCube
NBA Street Vol. 2;10;;;;Nintendo GameCube
Sega Soccer Slam;5;;;5;Nintendo GameCube
Sonic R;2;4;4;3;Nintendo GameCube
SSX 3;10;24;;22.5;Nintendo GameCube
Super Monkey Ball;4;8;;4.5;Nintendo GameCube
Taz: Wanted;7;;;7;Nintendo GameCube
The Hobbit (2003);11.5;15;;13;Nintendo GameCube
Tony Hawk's Underground 2 (Console/PC);7.5;12.5;17.5;10;Nintendo GameCube
Yu-Gi-Oh! The Falsebound Kingdom;22;;;22;Nintendo GameCube
Batman Begins;7.5;;9;8;Nintendo GameCube
Batman: Vengeance;8.5;10;;9;Nintendo GameCube
Bomberman Generation;11;14;;11.5;Nintendo GameCube
Burnout;9.5;9.5;13;10;Nintendo GameCube
Capcom vs. SNK 2: Mark of the Millennium 2001;0.55;3;;1.5;Nintendo GameCube
Cars;6.5;;13;8.5;Nintendo GameCube
Cubivore: Survival of the Fittest;11.5;;15;13;Nintendo GameCube
Dance Dance Revolution Mario Mix;2;21.5;;3.5;Nintendo GameCube
Dave Mirra Freestyle BMX 2;;;;;Nintendo GameCube
Def Jam Vendetta;9;;11;9.5;Nintendo GameCube
Def Jam: Fight for NY;5;;8;5.5;Nintendo GameCube
Donkey Konga;18;;25;19;Nintendo GameCube
Donkey Konga 2;6.5;;;6.5;Nintendo GameCube
Dragon Ball Z: Budokai 2;8;17;18;11;Nintendo GameCube
Dragon Ball Z: Sagas;10;12;12;11;Nintendo GameCube
Enter the Matrix;7.5;7;11.5;8;Nintendo GameCube
FIFA 06;38;;;;Nintendo GameCube
From Russia with Love;6.5;7;;6.5;Nintendo GameCube
Godzilla: Destroy All Monsters Melee;0.6666666666666666;;1;0.7333333333333333;Nintendo GameCube
Harry Potter: Quidditch World Cup;20;23;9;18.5;Nintendo GameCube
Hunter: The Reckoning;13;;;13;Nintendo GameCube
James Bond 007: Agent Under Fire;6;5;;6;Nintendo GameCube
Lemony Snicket's A Series of Unfortunate Events;6;;;6;Nintendo GameCube
Mario Party 5;11;16;15;13;Nintendo GameCube
